Data Number,Codes,Site Name,Latitude,Longitude,Elevation,Min. Depth,Max Depth,No. Temperatures,Temp. Gradient,No. Conductivities,Conductivity,No. Heat Production,Heat Production,Heat Flow,Red. Heat Flow,No. Sites,Reference No.
A,EAAAHB,26P,53.583,26.35,,140,310,31,10,25,3.1,,,30,,125,85
A,EAAAHB,,53.367,26.6,,179,377,41,9,22,3.2,,,29,,125,85
A,EAAAIB,16,49.45,29.25,,30,166,12,14,8,1.85,,,25,,52,79
A,EAABAB,3,69.05,30.117,,25,470,45,13,,2.8,,,41,,67,68
A,EAABHA,1,64.467,33.183,,20,330,,,,,,,23,,88,
A,EAABHA,P7,68.067,33.017,,40,650,,,,,,,17,,88,
A,EAABHA,,60.117,30.467,,70,710,,,,,,,52,,43,84
A,EAABIA,1,49.217,29.05,,23,313,25,12,8,3.07,6 0,0.5,39,,57,73
A,EAABIA,10,49,33.717,,30,397,42,9,24,3.7,6 0,0.6,34,,56,71
A,EAABIB,1,49.3,29,,25,182,15,12,5,2.85,3 0,0.5,35,,57,73
A,EAABIB,175,48.35,30.333,,25,105,7,16,4,2.2,6 0,0.8,36,,56,71
A,EBAAIB,1S,49.733,29.05,,30,160,13,15,14,1.4,,,22,,52,79
A,EBABAB,10,69.25,30.117,,149,622,47,10,5,3.2,,,36,,67,68
A,EBABAB,17,69.417,30.833,,75,1002,92,,22,2.6,15,1.7,37,,69,72
A,EBABGB,10,68.1,32.883,415,10,720,72,9,,4.2,,,45,,67,68
A,EBABHA,53,50.433,29.217,,38,258,19,9,10,3,,,29,,61,72
A,EBABHB,3,54.75,52.75,225,550,1700,99,,11,,,,42,,105,70
A,EBABHB,,56.233,32.767,,657,730,999,27,1,1.63,,,44,,141,
A,EBABHC,,56,54.833,160,,4100,999,15,37,2.23,,,34,,98,
A,EBABIA,1,55.667,60.167,490,20,1340,67,11,15,2.43,,,27,,97,77
A,EBABIA,4,48.633,31.733,,100,1175,51,13,31,2.76,,,36,,54,81
A,EBABIA,4,47.567,35.833,,62,409,,17,,2.8,,,47,,61,72
A,EBABIA,14,48.567,32.283,,100,500,26,14,5,2.8,,,38,,54,81
A,EBABIA,129,48.083,33.517,,25,567,18,8,4,4.1,3 0,0.4,31,,58,75
A,EBABIA,143,48.717,33.567,,30,211,20,17,9,1.71,4 1,0,29,,58,75
A,EBABIA,184,48.167,29.967,,25,382,19,10,11,4.05,,0.8,42,,58,73
A,EBABIA,,48.617,31.35,,47,395,23,14,12,3,,,42,,36,71
A,EBABIA,,47.633,35.817,,43,243,20,14,15,3,1 1,0.1,41,,61,72
A,EBABIB,,46.933,36.867,,75,150,8,10,11,3.1,,,31,,36,71
A,EBABZA,70,47.883,33.283,,,,,,,,,,29,,56,71
A,EBABZC,,51.417,27.917,,23,638,35,11,8,3,5 0,0.2,29,,56,71
A,EBAEHA,SG-3,69.417,30.25,,0,1000,999,,,2.9,,,26,,2,84
A,EBAEHB,,53.7,25.467,,110,170,23,14,11,2.6,,,39,,125,85
A,EBAEIC,,59.667,56.5,150,1700,1950,14,16,,2.2,,,35,,25,83
A,EBAEIC,,57.25,56.833,190,1560,1700,8,16,,2.12,,,34,,15,83
A,EBAFHB,5,50.75,36.833,,115,430,999,,,,,,46,,105,70
A,EBAFHB,35,54.75,52.417,280,600,1800,99,,,,,,46,,105,70
A,EBAFHB,1-OP,48.167,42.583,53,1900,3500,999,,,,,,52,,105,70
A,EBAFHB,1T,50.833,37.167,220,20,250,999,,,,,,38,,105,70
A,EBAFHB,,58.717,41.3,,900,3000,999,,,,,,59,,77,79
A,EBAFHC,3,59.683,30.117,,50,206,999,41,,1.76,,,72,,17,79
A,EBAFHC,3,59.883,30.383,,50,150,999,43,,1.76,,,76,,1,79
A,EBAFHC,4,59.683,30,,82,275,999,44,,1.76,,,77,,17,79
A,EBAFHC,5,59.817,30.25,,8,244,999,41,,1.76,,,72,,1,79
A,EBAFHC,,59.95,30.25,,50,250,999,42,,1.76,,,74,,1,79
A,EBAFHC,,58.2,44.017,,800,2200,999,,,,,,46,,77,79
A,EBAFIB,1,56.583,54.583,110,580,1390,999,15,,2.77,,,43,,31,
A,EBAFIB,SPUTNIK,69.417,30.25,,170,570,40,10,,3.6,,,37,,104,74
A,EBAFIC,6,54.5,53.75,190,300,1700,99,16,,2.64,,,42,,98,
A,EBAGHB,,53.55,28.5,,250,425,8,7,,3.22,,,22,,123,
A,EBAGHB,,55.917,37.917,,100,1200,999,,,,,,41,,105,70
A,EBAGHC,"1,2",55.083,30.583,,395,1065,99,12,,2.1,,,26,,121,84
A,EBAGHC,OP2,54.35,30.533,,300,1148,99,13,,2.2,,,29,,121,84
A,EBARHC,,54.917,41.65,128,170,810,28,20,,2.78,,,55,,91,
A,EBARHC,,54.733,52.283,,,,,18,1,3.6,,,70,,31,
A,EBAZIB,86,48.667,35.667,,39,249,14,,,,,,42,,61,72
A,EBAZZC,3,59.917,30.167,,80,125,,,,,,,62,,43,84
A,EBAZZC,5,59.817,30.417,,35,135,,,,,,,66,,88,
A,EBAZZC,,58.4,40.7,,,2100,,27,,2.3,,,62,,41,87
A,EBAZZC,,54.667,54,,,650,,,,,,,37,,40,85
A,EBAZZC,,54.467,54.083,,,1600,,,,,,,38,,40,85
A,EBAZZC,,53.417,56.167,,,1800,,,,,,,38,,40,85
A,ECAAIA,,50.067,24,,1000,1500,25,15,5,3.25,,,50,,57,73
A,ECABHA,,49.6,23.25,,100,1156,16,23,3,2.08,,,50,,55,70
A,ECABHB,,46.583,38.5,32,383,2200,999,27,18,2.02,,,54,,116,
A,ECABHB,,46.133,39.867,59,305,1979,999,30,15,1.89,,,56,,116,
A,ECABHC,,56.917,23.433,,575,964,39,28,8,1.86,,,52,,122,88
A,ECABHC,,52.95,25.083,,100,175,8,17,,1.9,,,32,,132,
A,ECABIA,1N,47.333,28.25,,100,244,7,37,3,1.55,,,57,,52,79
A,ECABIA,,50.333,24.167,,500,2000,999,18,18,2.8,,,49,,57,73
A,ECABIA,,49.917,34.517,,525,1970,999,21,11,1.5,,,40,,35,70
A,ECABIB,32,48.533,25.3,,40,219,24,21,14,1.66,,,34,,59,75
A,ECABIB,BUTYN,50.267,23.95,,,2425,,,,,,,50,,,
A,ECABZA,7,47.583,53.083,,,,,,,,,,37,,22,85
A,ECABZA,,46.317,38.95,,,,,,,,,,53,,82,76
A,ECABZA,,46.417,39.167,,,,,,,,,,65,,73,73
A,ECABZB,,50.833,44.917,,,,,,,,,,67,,113,72
A,ECAFFB,,50.167,34.917,,1500,2000,,19,,1.8,,,38,,16,85
A,ECAFHC,4,59.583,29.4,,117,320,999,41,,1.76,,,72,,17,79
A,ECAFHC,4,59.733,29.417,,116,300,999,38,,1.76,,,67,,17,79
A,ECAFHC,,54.55,26.283,,30,128,12,6,,4.2,,,24,,125,85
A,ECAFIA,,49.633,23.133,,100,1200,999,25,,1.84,,,50,,59,75
A,ECAFIB,,50.283,34.55,,,,,,,,,,46,,66,66
A,ECAFIB,,46.083,34.65,,20,1500,,32,,1.5,,,48,,16,85
A,ECAGHC,,54.95,31.333,,412,1292,99,11,,2.3,,,26,,121,84
A,ECARZC,3G,50.8,36.5,,,,,,,,,,52,,90,
A,ECAZZC,3,54.883,26.583,,105,181,,12,,2.7,,,31,,32,85
A,EDAZZC,,52.667,30.5,,40,130,,21,,2.1,,,44,,32,85
A,EDAZZC,,52.4,30.933,,45,155,,,,,,,48,,32,85
A,EEABHB,"4,11,13",44.7,45.617,,2435,3395,999,26,,0.21,,,55,,26,69
A,EEABHB,,46,39.083,35,390,2100,999,38,21,1.95,,,75,,116,
A,EEABHB,,45.85,39.55,58,525,2720,999,38,27,2.18,,,83,,116,
A,EEABHB,,45.667,39.583,64,50,2750,999,40,27,2.06,,,82,,116,
A,EEABHB,,45.733,39.817,11,455,1767,999,42,4,1.61,,,68,,116,
A,EEABHB,,45.867,40.633,118,285,2730,999,32,21,2.22,,,72,,116,
A,EEABHB,,45.25,40.75,126,170,3548,999,35,9,1.73,,,61,,116,
A,EEABHB,,45.583,41.917,79,150,675,999,59,6,1.47,,,86,,116,
A,EEABHB,,45.667,42.917,131,20,2175,999,38,22,2.28,,,87,,116,
A,EEABHB,,44.667,45.5,,3100,3730,99,,6,,,,57,,26,69
A,EEABHB,,44.683,46.367,,2829,2935,99,25,22,2,,,55,,23,65
A,EEABIA,,45.433,34.75,,1300,2700,999,30,51,1.78,,,54,,63,67
A,EEABIA,,49.467,37.4,170,900,2800,39,32,26,1.7,,,54,,35,70
A,EEABIC,,55.75,63.75,110,40,920,45,13,10,2.56,,,34,,97,77
A,EEABZA,,45.817,40.467,,,,,,,,,,63,,82,76
A,EEABZB,"1,2",45.3,39.75,,,,,,,,,,57,,83,76
A,EEAEFA,,50.333,34.667,,25,1100,,22,,1.8,,,41,,16,85
A,EEAEFB,,50.2,34.7,,25,1100,,,,,,,39,,16,85
A,EEAEIA,32,52,58.25,350,20,500,25,6,11,2.94,,,19,,95,76
A,EEAEIA,S4,52.583,62.75,190,20,940,47,16,13,2.16,,,34,,96,82
A,EEAEIA,,50.167,58.417,350,20,860,43,20,10,1.95,,,39,,98,
A,EEAEIB,30,54.167,59.5,510,20,700,35,9,26,2.62,,,24,,95,76
A,EEAEIB,38,52,59.833,340,20,270,14,13,17,3.6,,,45,,98,
A,EEAEIB,,58.167,59.667,300,500,960,24,9,,2.61,,,24,,15,83
A,EEAEIB,,58.25,59.75,390,290,860,30,11,7,2.16,,,24,,15,83
A,EEAEIB,,56.833,60.667,240,500,800,16,9,,2.57,,,28,,15,83
A,EEAEIB,,57,61.5,220,450,650,11,13,,2.57,,,32,,15,83
A,EEAFFB,,51.45,32,,500,2300,,23,,1.7,,,41,,16,85
A,EEAFFB,,49.067,38.15,,1110,1340,,81,,1.7,,,52,,16,85
A,EEAFHB,85TS,48.417,37.667,,540,1360,999,,,,,,68,,105,70
A,EEAFHB,S8,48.083,38.25,,700,1310,999,,,,,,42,,105,70
A,EEAFHB,,52.7,29.217,146,768,3521,999,16,,5,,,80,,5,75
A,EEAFHB,,52.55,29.533,131,932,3326,999,24,,3.83,,,92,,5,75
A,EEAFHB,,52.383,29.633,140,1020,2881,999,16,,4.44,,,71,,5,75
A,EEAFHB,,52.583,29.7,126,941,2475,131,21,,4,,,84,,5,75
A,EEAFHB,,52.5,29.933,134,997,3466,999,18,,6.05,,,109,,5,75
A,EEAFHB,,52.317,30.35,127,526,2678,59,16,1,5.5,,,88,,5,75
A,EEAFHB,,44.833,41.25,,100,800,999,69,,1.38,,,92,,80,70
A,EEAFHB,,45.567,41.317,,120,1160,999,44,,1.38,,,59,,80,70
A,EEAFHB,,45.417,41.667,,80,480,999,80,,1.38,,,106,,80,70
A,EEAFHB,,45.25,42.083,,40,880,999,86,,1.38,,,115,,80,70
A,EEAFHB,,45.25,42.167,,40,1000,999,,,,,,89,,80,70
A,EEAFHB,,44.75,45.25,,500,3300,999,43,,1.38,,,59,,80,70
A,EEAFHB,,44.917,45.417,,480,2900,999,44,,1.38,,,61,,80,70
A,EEAFHC,,52.183,30.617,,1200,1699,20,13,,3.31,,,43,,11,70
A,EEAFIA,,49.983,23.25,,950,1280,,,,,,,72,,16,85
A,EEAFIA,,49.633,23.65,,900,1800,,,,,,,66,,16,85
A,EEAFIA,,50.25,24.167,,,,,,,,,,50,,37,80
A,EEAFIA,,49.483,36.483,,1500,2400,20,21,,1.8,,,46,,35,70
A,EEAFIB,,49.817,23.467,,20,820,,35,,1.8,,,64,,16,85
A,EEAFIB,,50.85,32.133,,500,3000,999,25,,1.7,,,43,,16,85
A,EEAFIB,,51.317,32.217,,500,1700,,26,,1.7,,,44,,16,85
A,EEAFIB,,49.633,35.333,,3500,4200,,23,,1.7,,,39,,16,85
A,EEAFIB,,49.5,36.533,,500,1000,,28,,1.4,,,39,,16,85
A,EEAFIB,,49.183,37.133,,810,1170,,28,,1.7,,,44,,16,85
A,EEAFZA,,45.533,41.2,152,100,1125,55,,,,,,88,,66,66
A,EEAFZB,,45.5,35,8,,1500,,,,,,,54,,66,66
A,EEAFZC,,45.533,41.317,153,,1150,60,,,,,,88,,66,66
A,EEAGHB,,45.55,41.45,116,529,1111,999,47,,1.8,,,85,,99,
A,EEARHC,,45.283,39.967,79,600,1700,220,60,,1.39,,,84,,91,
A,EEARHC,,45.583,40.467,119,915,1700,157,59,,1.48,,,87,,91,
A,EEAZHB,1,54.967,64.15,,40,780,,19,,,,,37,,28,79
A,EEAZHB,,45.683,46.867,-12,566,710,999,28,,2.76,,,76,,115,73
A,EEAZHB,,45.683,46.867,-12,566,710,999,28,,2.76,,,76,,115,73
A,EEAZHB,,52.083,58.333,,100,720,,9,,,,,23,,28,
A,EEAZZC,SK503,51.867,62.1,,,,,,,,,,39,,47,82
A,EEAZZC,,52.25,29.75,,,,,,,,,,68,,89,87
A,EEAZZC,,44.75,38.917,,,,,,,,,,45,,66,66
A,EEAZZC,,45.25,42.917,,,,999,,,,,,72,,110,66
A,EFABHA,,45.067,35.55,,1300,1900,23,41,7,1.31,,,54,,67,68
A,EFABHB,4,44.817,38.25,57,200,1200,999,32,10,1.44,,,47,,116,
A,EFABHB,,46.517,39.283,10,100,1313,999,26,13,2.09,,,55,,116,
A,EFABHB,,46.583,39.917,50,450,1400,999,28,14,2.18,,,61,,116,
A,EFABHB,,44.75,41.25,359,152,3105,999,34,17,1.89,,,65,,116,
A,EFABHB,,45.25,42.417,378,120,2000,999,43,7,1.93,,,83,,116,
A,EFABHB,,45.25,42.9,358,245,2500,999,59,13,1.81,,,107,,116,
A,EFABHB,,44.917,43.417,278,100,3790,999,43,32,1.85,,,80,,116,
A,EFABHB,,44.9,43.917,,150,2405,999,50,31,1.63,,,82,,116,
A,EFABHB,,45.25,44.333,188,228,3110,999,44,17,1.78,,,78,,116,
A,EFABHB,,45.083,44.917,,334,3350,999,37,30,1.88,,,69,,116,
A,EFABHB,,45.05,44.917,,456,2527,999,42,24,1.61,,,67,,116,
A,EFABHB,,44.883,45.167,33,500,3194,999,37,29,1.89,,,70,,116,
A,EFABHB,,45.05,45.183,19,278,2318,999,40,31,1.61,,,65,,116,
A,EFABIA,,45.567,33,,1040,1100,5,37,16,2.28,,,84,,64,69
A,EFABIA,,45.733,34.083,,1100,1200,5,48,3,1.19,,,54,,63,67
A,EFABIA,,45.733,34.083,,1100,1200,5,48,3,1.19,,,54,,63,67
A,EFABZA,1,45.05,35.017,,20,246,,28,,1.6,,,34,,67,68
A,EFABZA,,45,34.167,420,,,,,,,,,42,,66,66
A,EFAEIA,,45.083,35.833,,100,1100,,,,,,,61,,16,85
A,EFAEIC,,45.983,34.333,,100,2500,,34,,1.7,,,58,,16,85
A,EFAFFA,,45.417,32.65,,100,2500,,,,,,,53,,16,85
A,EFAFFA,,45.1,33.717,,20,200,,27,,1.7,,,46,,38,82
A,EFAFFB,,45.467,32.533,,20,340,,,,,,,64,,16,85
A,EFAFGA,,45,35.1,,10,710,999,,,,,,42,,33,72
A,EFAFHC,,44.667,40.083,,100,3000,99,,0,,,,90,,80,70
A,EFAFHC,,44.75,44.25,,440,2650,999,43,,1.38,,,59,,80,7
A,EFAFIA,,45.5,32.967,,500,2500,999,29,,2.3,,,71,,56,71
A,EFAFIB,,45.783,34.083,,100,1015,,45,,1.42,,,64,,38,82
A,EFAFIB,,45.783,34.167,,200,3040,,36,,1.42,,,53,,38,82
A,EFAFIB,,45.683,34.75,,20,1660,,37,,1.5,,,55,,16,85
A,EFAFIB,,45.683,34.75,,20,1660,,37,,1.5,,,55,,16,85
A,EFAFIB,,45.917,34.833,,1410,1720,,23,,2,,,57,,16,85
A,EFAFIB,,45.917,34.833,,1410,1720,,23,,2,,,57,,16,85
A,EFAFZB,1,45.067,35.817,20,,1900,,,,,,,59,,66,66
A,EFAZZC,1,44.85,41.517,,,,,,,,,,75,,82,76
A,EFAZZC,"66,88",44.8,38.9,,,,,,,,,,59,,83,
A,EFAZZC,,44.9,35.25,,,,,,,,,,56,,78,73
A,EFAZZC,,44.95,38.8,,,,,,,,,,79,,82,76
A,EFAZZC,,45.033,39.033,,,,,,,,,,36,,82,76
A,EFAZZC,,44.667,39.25,,,,,,,,,,56,,82,76
A,EFAZZC,,44.667,40.05,,,,,,,,,,85,,83,77
A,EFAZZC,,44.667,40.45,,,,,,,,,,59,,73,73
A,EGAABA,S.SAMBO7,49.433,23.067,,600,3600,999,22,19,2.49,,,58,,59,75
A,EGABHA,,50.1,23.317,,40,231,17,47,14,1.45,,,69,,57,73
A,EGABHB,1,39.85,48.983,,50,400,999,17,6,1.44,,,25,,116,
A,EGABHB,2,39.867,48.983,,250,3025,999,15,6,1.44,,,22,,116,
A,EGABHB,2,39.817,49.05,,250,2375,999,18,6,1.42,,,26,,116,
A,EGABHB,14,40.333,49.8,,300,1500,999,27,6,2.58,,,69,,108,69
A,EGABHB,,44.8,38.967,65,100,1145,54,,,,,,59,,66,66
A,EGABHB,,39.817,49.017,,50,400,999,26,6,1.44,,,38,,116,
A,EGABIA,ZALUZH 2,48.433,22.7,,25,2100,,,,,,,103,,102,66
A,EGABIA,,49.067,23.983,,1795,2230,999,25,20,1.8,,,50,,34,68
A,EGABZA,,49.217,23.667,,,,,,,,,,33,,102,66
A,EGAFHB,,48.217,22.617,,20,345,,,,,,,121,,16,85
A,EGAFHB,,48.067,23.283,,20,274,,42,,2.2,,,92,,16,85
A,EGAFHB,,45.167,43.5,,296,1481,999,530,,1.8,,,95,,99,
A,EGAFIB,11,48.25,22.517,,30,121,10,55,,1.65,,,92,,57,73
A,EGAFIB,,48.233,22.617,,,,,,,,,,115,,16,85
A,EGAFIB,,48.583,23,,,,,,,,,,86,,37,80
A,EGAZZC,NEFTECHA,39.3,49.25,,,,,,,,,,38,,4,85
A,EGAZZC,,39.85,49.05,,,,,,,,,,21,,44,74
A,EGAZZC,,39.75,49.05,,,,,,,,,,21,,44,74
A,EGAZZC,,39.95,49.117,,,,,,,,,,25,,44,74
A,EGAZZC,,39.817,49.183,,,,,,,,,,17,,44,74
A,EGAZZC,,39.917,49.267,,,,,,,,,,32,,4,85
A,EGAZZC,,39.75,49.367,,,,,,,,,,25,,44,74
A,FABZBE,,45.333,32.65,,,1935,,,,,,,71,,67,68
A,RGABHB,1,40.583,50.25,,350,600,999,25,6,2.95,,,74,,108,69
A,RGABHB,2,40.6,50.233,,491,1080,999,19,5,2.98,,,57,,108,69
A,RGABHB,2,40.583,50.233,,399,1080,999,23,6,2.62,,,60,,108,69
A,RGAZZC,,40.217,50.067,,,,,,,,,,33,,4,85
A,RGAZZC,,40.55,50.267,,,,,,,,,,58,,108,69
A,RGAZZC,,40.433,50.367,,,,,,,,,,33,,4,85
A,RGAZZC,,40.283,50.767,,,,,,,,,,31,,4,85
B,EAAAHB,1,53.367,26.6,,179,493,49,9,22,3.1,,,27,,132,
B,EAAAIA,16,49.45,29.25,,24,349,24,15,3,1.85,,,27,,52,79
B,EAABAB,3,69.05,30.117,,20,531,32,14,,2.4,,,37,,67,68
B,EAABHA,1,64.467,33.2,,20,200,,,,,,,29,,88,
B,EAABHA,P8,68.067,33.017,,60,748,,,,,,,17,,88,
B,EAABHA,,60.117,30.467,,70,720,,19,,2.84,,,54,,17,79
B,EAABIA,1,49.3,29,,25,178,14,12,5,3.05,5 0,0.7,37,,57,73
B,EAABIA,1,49.217,29.05,,22,182,14,11,5,3.25,5 0,0.9,39,,57,73
B,EAABIA,10,49,33.717,,30,390,12,9,7,3.5,6 0,0.6,34,,56,71
B,EAABIB,175,48.35,30.333,,25,100,7,11,9,2,4 0,0.3,21,,56,71
B,EAAFHB,25ZH,53.583,26.35,,200,500,50,8,,2.2,,,17,,132,
B,EBABAB,10,69.25,30.117,,74,771,9,12,6,3.08,,,42,,67,68
B,EBABGB,11,68.1,32.883,,596,1425,82,12,20,2.8,,,40,,69,72
B,EBABHA,53,50.433,29.217,,63,263,10,9,6,3,3 0,0.7,29,,61,72
B,EBABHB,17,69.417,30.833,,179,1283,110,12,14,2.8,,,34,,73,73
B,EBABHC,,56,54.833,160,70,4100,999,11,37,2.08,,,31,,97,77
B,EBABIA,2,55.667,60.167,490,20,520,26,11,8,2.55,,,28,,97,77
B,EBABIA,4,47.567,35.833,,83,203,38,17,12,2.8,7 0,0.2,47,,61,72
B,EBABIA,7,48.617,31.35,,200,675,31,14,14,2.86,,,42,,36,71
B,EBABIA,14,48.567,32.283,,100,1250,41,15,12,2.73,,,40,,54,81
B,EBABIA,15,48.633,31.733,,800,1060,,16,,2.35,,,36,,54,81
B,EBABIA,70,47.883,33.283,,550,1000,,,,,,,29,,71,64
B,EBABIA,139,48.083,33.517,,40,940,40,10,4,3.1,3 1,0.6,30,,58,75
B,EBABIA,147,48.717,33.567,,52,170,16,13,6,3.08,6 0,0.6,41,,58,75
B,EBABIA,,47.633,35.817,,45,225,11,14,15,2.95,,1.2,41,,61,72
B,EBABIB,87,48.667,35.667,,42,201,10,23,4,1.8,,,41,,61,72
B,EBABIB,184,48.167,29.967,,25,346,30,10,10,3.9,7 0,0.8,38,,58,73
B,EBABIB,,46.933,36.867,,88,178,10,10,11,3.1,,,31,,36,71
B,EBABZC,,51.417,27.917,,23,118,7,12,4,3.2,4 0,0.9,40,,56,71
B,EBAEHA,SG-3,69.417,30.25,,1000,2800,999,12,,3,,,36,,2,84
B,EBAEIC,,59.667,56.5,150,1700,1950,14,17,,2.15,,,36,,25,83
B,EBAEIC,,57.25,56.833,190,1560,1700,8,18,,1.88,,,34,,15,83
B,EBAFHB,6,50.75,36.833,210,70,480,999,,,,,,62,,105,70
B,EBAFHB,9,54.75,52.75,220,600,1800,99,,,,,,42,,105,70
B,EBAFHB,2T,50.833,37.167,220,20,350,999,,,,,,33,,105,70
B,EBAFHC,2,59.95,30.25,,50,165,999,39,,1.55,,,66,,1,79
B,EBAFHC,,55.083,30.583,,,,99,,,,,,29,,141,
B,EBAFIB,1,56.583,54.583,110,550,990,999,14,,2.75,,,39,,31,
B,EBAFIB,NO    2U,69.417,30.25,,40,340,999,10,,3.77,,,39,,104,74
B,EBAFIC,1,53.417,56.167,250,500,1800,999,14,,2.6,,,37,,98,
B,EBAFIC,3A,54.667,54,95,300,1400,99,13,,2.8,,,36,,98,
B,EBAFIC,,54.467,54.083,190,300,1570,99,14,,2.68,,,37,,98,
B,EBAGHC,1,53.55,28.5,,246,460,999,6,,3.22,,,19,,123,
B,EBAGHC,OP2,54.35,30.533,,,,,,,,,,34,,10,82
B,EBARHC,36,54.75,52.417,260,80,1800,44,23,,3.17,,,73,,91,
B,EBARHC,,55.917,37.917,153,25,1265,248,23,,1.79,,,42,,91,
B,EBARHC,,54.917,41.517,128,170,810,28,20,,2.78,,,55,,91,
B,EBARHC,,54.733,52.283,,,,,,1,2.62,,,47,,31,
B,EBAZZC,2,60.083,29.95,,50,140,,,,,,,39,,43,84
B,EBAZZC,2,51,44.917,,,,999,,,,,,59,,114,71
B,EBAZZC,3,59.683,30.117,,50,200,,,,,,,64,,43,84
B,EBAZZC,3,59.917,30.167,,70,125,,,,,,,72,,88,
B,EBAZZC,3,59.883,30.383,,50,220,,,,,,,56,,43,84
B,EBAZZC,4,59.683,30,,80,145,,,,,,,79,,88,
B,EBAZZC,5,59.817,30.25,,20,240,,,,,,,73,,43,84
B,EBAZZC,5,59.817,30.417,,50,135,,,,,,,68,,43,84
B,EBAZZC,6,54.5,53.75,,,1800,,,,,,,39,,40,85
B,EBAZZC,7,51.867,62.1,,,,,,,,,,38,,131,72
B,EBAZZC,,53.7,25.467,,100,140,,17,,2.1,,,35,,32,85
B,EBAZZC,,56.233,32.767,,,1070,999,,,,,,53,,40,85
B,EBAZZC,,58.4,40.7,,,1460,,,,,,,43,,40,85
B,EBAZZC,,58.717,41.3,,,3000,,25,,2.3,,,58,,41,87
B,EBAZZC,,58.2,44.017,,,2000,,23,,2.3,,,51,,41,87
B,ECAABA,,50.067,24,,1000,1400,999,16,5,3.25,,,50,,57,73
B,ECABHA,4,59.583,29.4,,117,330,,,,,,,63,,88,
B,ECABHA,4,59.733,29.417,,140,280,,,,,,,54,,88,
B,ECABHA,,50.833,44.917,175,100,950,,,,,,,49,,91,
B,ECABHB,,56.917,23.433,,346,809,,24,8,1.88,,,46,,128,88
B,ECABHB,,54.95,31.333,,440,470,99,,7,,,,32,,141,
B,ECABHB,,46.317,38.95,43,41,1910,999,34,20,1.92,,,66,,73,73
B,ECABHB,,46.417,39.167,51,310,2029,999,31,18,1.91,,,59,,116,
B,ECABIA,4R,47.333,28.25,,105,285,28,35,23,1.63,,,57,,52,79
B,ECABIA,,49.633,23.133,,300,1300,999,27,4,1.84,,,54,,59,75
B,ECABIA,,49.6,23.25,,,1156,,23,,2.08,,,45,,59,75
B,ECABIA,,49.917,34.517,,2880,3150,999,29,14,1.3,,,40,,35,70
B,ECABIB,,50.283,34.55,,1050,2235,999,24,14,1.75,,,50,,35,70
B,ECABZA,7,47.583,53.083,,,,,,,,,,38,,22,85
B,ECABZA,,46.583,38.5,,,,,,,,,,66,,73,73
B,ECABZA,,46.133,39.867,,,,,,,,,,38,,82,76
B,ECAFFB,,50.167,34.917,,1500,2100,,19,,1.8,,,38,,16,85
B,ECAFHB,3,54.883,26.583,,130,260,12,15,,2.1,,,31,,125,85
B,ECAFHC,,54.55,26.283,,40,140,16,7,,4.2,,,28,,125,85
B,ECAFIB,BUTYN,50.267,23.95,,500,1000,,30,,1.6,,,48,,16,85
B,ECAFIB,,46.083,34.65,,20,1300,,32,,1.5,,,47,,16,85
B,ECARZC,2,50.8,36.5,,,,,,,,,,32,,90,
B,ECAZIB,,50.333,24.167,,,1500,999,17,,,,,54,,57,73
B,ECAZIC,32,48.533,25.3,,,276,,21,,1.66,,,35,,59,75
B,ECAZZC,,52.95,25.083,,134,184,,15,,2.1,,,32,,32,85
B,EDAZZC,,52.667,30.5,,40,140,,,,,,,38,,32,85
B,EDAZZC,,52.4,30.933,,55,155,,20,,2.1,,,43,,32,85
B,EEABHB,,52.183,30.617,138,1130,2198,42,16,3,5,,,80,,5,75
B,EEABHB,,45.3,39.75,90,486,3483,999,36,13,2.01,,,72,,116,
B,EEABHB,,45.283,39.967,82,50,3570,999,38,8,1.83,,,69,,116,
B,EEABHB,,45.533,41.2,152,150,1137,999,54,30,1.63,,,88,,116,
B,EEABHB,,45.25,42.083,,75,830,999,56,12,1.56,,,87,,116,
B,EEABHB,,45.25,42.167,328,500,940,999,66,9,1.52,,,100,,116,
B,EEABHB,,44.917,45.417,,710,2218,999,45,34,1.8,,,80,,116,
B,EEABHB,,44.667,45.5,,118,3100,99,38,301,7.6,,,66,,116,
B,EEABIA,,45.667,39.583,,,,,,,,,,73,,83,76
B,EEABIA,,45.55,41.45,116,,1150,58,,,,,,84,,66,66
B,EEABIB,,45.733,39.817,,,,,,,,,,65,,73,73
B,EEABIB,,55.75,63.75,110,40,920,45,13,12,2.23,,,29,,97,77
B,EEABZA,"23,27",45.85,39.55,,,,,,,,,,63,,83,76
B,EEABZA,,45.433,34.75,,,1615,,,,,,,54,,67,68
B,EEABZA,,46,39.083,,,,,,,,,,71,,73,73
B,EEABZA,,45.817,40.467,,,,,,,,,,71,,73,73
B,EEABZA,,45.867,40.633,,,,,,,,,,67,,73,73
B,EEABZB,,45.25,40.75,,,,,,,,,,65,,82,76
B,EEABZF,,45.5,35,8,500,1900,999,34,,1.5,,,50,,56,71
B,EEAEFB,,50.333,34.667,,25,1350,,23,,1.8,,,44,,16,85
B,EEAEFB,,50.2,34.7,,25,900,,,,,,,39,,16,85
B,EEAEIA,24,52,58.25,350,20,610,30,6,7,3.19,,,20,,95,76
B,EEAEIA,,48.167,58.417,340,20,480,24,10,11,2.57,,,25,,97,77
