Data Number,Codes,Site Name,Latitude,Longitude,Elevation,Min. Depth,Max Depth,No. Temperatures,Temp. Gradient,No. Conductivities,Conductivity,No. Heat Production,Heat Production,Heat Flow,Red. Heat Flow,No. Sites,Reference No.
SU1093,EGLOQB,BAIKAL,51.8167,105.7,-800,1250,2,2,101,1,0.75,,,83,1,48,78
SU1094,EGLOQB,BAIKAL,51.8,105.7167,-800,1250,2,2,88,1,0.73,,,70,1,48,78
SU1095,EGLOQB,BAIKAL,51.7833,105.75,-500,950,2,2,70,1,0.88,,,68,1,48,78
SU1096,EGLOQB,BAIKAL,51.7667,105.7667,-350,800,2,2,100,1,1.02,,,111,1,48,78
SU1097,EGLOQB,BAIKAL,51.75,105.8,150,300,2,2,86,1,0.92,,,85,1,48,78
SU1098,EBAGHC,UKSCHUMS,55.8167,114.3667,900,20,150,,18,,2.5,,,46,1,38,78
SU1099,EEAGHC,GORBYLOK,54.4667,112.1167,1200,25,85,,20,,2.5,,,50,1,38,78
SU1100,EFAGHC,VITIMSKI,54.3,112.0833,1200,,,999,9,,3,,,28,1,38,78
SU1101,EBAGHC,CHINAKAN,54.6667,112.75,1200,20,120,,18,,2.8,,,50,1,38,78
SU1102,EEAGHC,TOCHERSK,54.3833,113.2167,1250,,,,10,,3.2,,,32,1,47,69
SU1103,EEABHC,M-AMALAT,54.35,113.3,950,100,400,999,11,15,3.2,,,35,1,38,78
SU1104,EEAGHC,AUNIKSKI,54.5333,113.3333,1300,,,,10,,3.2,,,32,1,45,76
SU1105,EEAGHC,MALOVSKI,54.4167,113.5667,950,,,,10,,3.2,,,32,1,47,69
SU1106,EBAGHC,AREKITKA,54.65,116.65,800,30,300,,18,,2.5,,,46,1,38,78
SU1107,EFABHC,OZERNYE,53,111.5833,1250,78,780,999,13,34,3.1,,,40,2,37,76
SU1108,EFABHC,TETRAHS2,53.5,112.6167,1000,50,130,6,20,6,1.7,,,34,2,44,
SU1109,EFABHC,TETRAHS1,53.5333,112.7333,900,60,230,7,37,12,1.7,,,63,3,39,83
SU1110,EEAFHC,ROMANOVS,53.1833,112.7833,900,20,70,999,14,,2.4,,,34,1,39,83
SU1111,EEAGHB,INGURSKI,53.65,113.6667,900,70,157,10,23,,1.9,,,44,1,38,78
SU1112,EEAGHC,TUNGIRSK,53.9667,119.0333,1000,100,300,999,12,,2.4,,,29,1,38,78
SU1113,EEAGHC,AMAZARSK,53.6,119.75,1000,100,200,999,12,,2.4,,,29,1,38,78
SU1114,EFABHB,HORINS14,52.0833,109.5833,500,20,100,16,36,11,1.97,,,71,1,57,72
SU1115,EFAFHB,HORINS,52.1333,109.7833,650,10,124,11,23,,2.4,,,55,3,40,76
SU1116,EFABHC,IGITINSK,52.5,111.0833,800,50,130,5,20,19,2.8,,,57,3,44,
